50 16268 16268
0 0 263.0 6.0
0 1 270.0 13.0
0 2 285.0 14.0
0 3 284.0 16.0
0 4 1203.0 13.0
0 5 252.0 26.0
0 6 269.0 26.0
0 7 304.0 23.0
0 8 268.0 36.0
0 9 276.0 45.0
0 10 283.0 43.0
0 11 272.0 55.0
0 12 304.0 56.0
0 13 324.0 54.0
0 14 327.0 63.0
0 15 327.0 65.0
0 16 266.0 75.0
0 17 145.0 93.0
0 18 1185.0 113.0
0 19 1234.0 114.0
0 20 1104.0 125.0
0 21 1188.0 124.0
0 22 1096.0 135.0
0 23 1103.0 135.0
0 24 1227.0 134.0
0 25 1205.0 146.0
0 26 164.0 155.0
0 27 949.0 155.0
0 28 969.0 153.0
0 29 994.0 155.0
0 30 1214.0 154.0
0 31 1206.0 155.0
0 32 165.0 163.0
0 33 168.0 164.0
0 34 327.0 163.0
0 35 329.0 164.0
0 36 334.0 165.0
0 37 328.0 166.0
0 38 355.0 163.0
0 39 351.0 166.0
0 40 369.0 163.0
0 41 393.0 163.0
0 42 396.0 163.0
0 43 407.0 166.0
0 44 927.0 165.0
0 45 971.0 166.0
0 46 276.0 174.0
0 47 293.0 174.0
0 48 289.0 176.0
0 49 308.0 175.0
0 50 305.0 176.0
0 51 312.0 176.0
0 52 333.0 175.0
0 53 324.0 176.0
0 54 370.0 173.0
0 55 374.0 174.0
0 56 369.0 175.0
0 57 374.0 176.0
0 58 389.0 175.0
0 59 413.0 175.0
0 60 404.0 176.0
0 61 415.0 176.0
0 62 467.0 175.0
0 63 549.0 176.0
0 64 565.0 175.0
0 65 568.0 176.0
0 66 584.0 175.0
0 67 594.0 175.0
0 68 591.0 176.0
0 69 596.0 176.0
0 70 603.0 175.0
0 71 611.0 175.0
0 72 606.0 176.0
0 73 936.0 175.0
0 74 1176.0 176.0
0 75 1184.0 175.0
0 76 1189.0 175.0
0 77 1208.0 175.0
0 78 1216.0 176.0
0 79 1226.0 176.0
0 80 1235.0 176.0
0 81 374.0 186.0
0 82 343.0 214.0
0 83 408.0 216.0
0 84 433.0 216.0
0 85 483.0 213.0
0 86 494.0 213.0
0 87 545.0 213.0
0 88 543.0 215.0
0 89 604.0 215.0
0 90 614.0 215.0
0 91 704.0 214.0
0 92 332.0 223.0
0 93 343.0 223.0
0 94 367.0 226.0
0 95 388.0 223.0
0 96 545.0 223.0
0 97 547.0 223.0
0 98 345.0 234.0
1 99 1167.0 6.0
1 100 172.0 13.0
1 101 236.0 14.0
1 102 225.0 16.0
1 103 276.0 14.0
1 104 149.0 23.0
1 105 226.0 23.0
1 106 249.0 25.0
1 107 276.0 23.0
1 108 175.0 35.0
1 109 275.0 36.0
1 110 232.0 43.0
1 111 283.0 46.0
1 112 309.0 46.0
1 113 336.0 45.0
1 114 328.0 46.0
1 115 349.0 44.0
1 116 348.0 46.0
1 117 190.0 56.0
1 118 229.0 53.0
1 119 250.0 53.0
1 120 268.0 55.0
1 121 294.0 53.0
1 122 316.0 54.0
1 123 329.0 55.0
1 124 347.0 53.0
1 125 273.0 66.0
1 126 286.0 63.0
1 127 347.0 63.0
1 128 350.0 65.0
1 129 186.0 74.0
1 130 295.0 74.0
1 131 306.0 76.0
1 132 316.0 76.0
1 133 323.0 75.0
1 134 335.0 75.0
1 135 236.0 96.0
1 136 271.0 94.0
1 137 267.0 96.0
1 138 1074.0 116.0
1 139 1143.0 115.0
1 140 1192.0 116.0
1 141 289.0 125.0
1 142 1149.0 126.0
1 143 1154.0 126.0
1 144 1070.0 133.0
1 145 1186.0 136.0
1 146 107.0 156.0
1 147 1167.0 153.0
1 148 1167.0 155.0
1 149 1174.0 156.0
1 150 106.0 165.0
1 151 112.0 165.0
1 152 270.0 165.0
1 153 283.0 166.0
1 154 308.0 163.0
1 155 304.0 164.0
1 156 323.0 163.0
1 157 328.0 163.0
1 158 325.0 165.0
1 159 351.0 165.0
1 160 348.0 166.0
1 161 491.0 164.0
1 162 515.0 163.0
1 163 772.0 165.0
1 164 1236.0 165.0
1 165 207.0 176.0
1 166 225.0 176.0
1 167 243.0 175.0
1 168 250.0 176.0
1 169 256.0 176.0
1 170 274.0 173.0
1 171 289.0 176.0
1 172 329.0 175.0
1 173 835.0 193.0
1 174 326.0 215.0
1 175 371.0 215.0
1 176 429.0 215.0
1 177 467.0 213.0
1 178 465.0 214.0
1 179 532.0 213.0
1 180 529.0 214.0
1 181 549.0 213.0
1 182 544.0 214.0
1 183 552.0 215.0
1 184 543.0 216.0
1 185 563.0 213.0
1 186 588.0 215.0
1 187 595.0 216.0
1 188 655.0 213.0
1 189 665.0 214.0
1 190 369.0 226.0
1 191 434.0 226.0
1 192 530.0 224.0
1 193 1185.0 246.0
1 194 1172.0 265.0
2 195 143.0 5.0
2 196 188.0 13.0
2 197 192.0 16.0
2 198 210.0 13.0
2 199 212.0 14.0
2 200 148.0 24.0
2 201 230.0 23.0
2 202 228.0 36.0
2 203 273.0 36.0
2 204 287.0 43.0
2 205 293.0 45.0
2 206 303.0 45.0
2 207 307.0 45.0
2 208 211.0 53.0
2 209 249.0 54.0
2 210 286.0 55.0
2 211 304.0 53.0
2 212 309.0 54.0
2 213 267.0 65.0
2 214 286.0 64.0
2 215 134.0 75.0
2 216 249.0 75.0
2 217 276.0 75.0
2 218 289.0 73.0
2 219 294.0 76.0
2 220 304.0 76.0
2 221 224.0 83.0
2 222 295.0 85.0
2 223 309.0 84.0
2 224 296.0 93.0
2 225 294.0 94.0
2 226 308.0 93.0
2 227 184.0 103.0
2 228 256.0 104.0
2 229 296.0 103.0
2 230 289.0 105.0
2 231 284.0 106.0
2 232 1063.0 103.0
2 233 206.0 113.0
2 234 1103.0 114.0
2 235 268.0 124.0
2 236 1033.0 123.0
2 237 1025.0 125.0
2 238 1050.0 124.0
2 239 1150.0 126.0
2 240 1024.0 133.0
2 241 1032.0 135.0
2 242 1035.0 135.0
2 243 1123.0 133.0
2 244 1032.0 143.0
2 245 1136.0 153.0
2 246 1129.0 154.0
2 247 254.0 165.0
2 248 247.0 166.0
2 249 273.0 165.0
2 250 268.0 166.0
2 251 456.0 164.0
2 252 468.0 166.0
2 253 1036.0 164.0
2 254 1028.0 165.0
2 255 1050.0 164.0
2 256 273.0 174.0
2 257 566.0 173.0
2 258 570.0 173.0
2 259 796.0 173.0
2 260 854.0 176.0
2 261 109.0 183.0
2 262 129.0 183.0
2 263 132.0 183.0
2 264 169.0 185.0
2 265 195.0 184.0
2 266 216.0 183.0
2 267 209.0 184.0
2 268 276.0 183.0
2 269 289.0 185.0
2 270 314.0 183.0
2 271 411.0 184.0
2 272 426.0 183.0
2 273 430.0 183.0
2 274 436.0 183.0
2 275 444.0 183.0
2 276 449.0 183.0
2 277 467.0 183.0
2 278 464.0 184.0
2 279 466.0 185.0
2 280 469.0 185.0
2 281 471.0 185.0
2 282 474.0 185.0
2 283 486.0 183.0
2 284 494.0 183.0
2 285 488.0 184.0
2 286 508.0 184.0
2 287 511.0 184.0
2 288 513.0 184.0
2 289 523.0 183.0
2 290 530.0 183.0
2 291 527.0 184.0
2 292 535.0 184.0
2 293 526.0 186.0
2 294 543.0 186.0
2 295 1054.0 184.0
2 296 1156.0 183.0
2 297 285.0 195.0
2 298 471.0 194.0
2 299 484.0 194.0
2 300 489.0 194.0
2 301 551.0 194.0
2 302 227.0 215.0
2 303 327.0 223.0
2 304 327.0 225.0
2 305 387.0 225.0
2 306 411.0 224.0
2 307 408.0 225.0
2 308 504.0 223.0
2 309 505.0 226.0
2 310 523.0 225.0
2 311 525.0 225.0
2 312 529.0 225.0
2 313 368.0 234.0
2 314 425.0 236.0
2 315 370.0 246.0
2 316 387.0 246.0
2 317 1170.0 265.0
2 318 1189.0 273.0
3 319 96.0 16.0
3 320 135.0 36.0
3 321 144.0 33.0
3 322 154.0 34.0
3 323 176.0 35.0
3 324 226.0 34.0
3 325 188.0 44.0
3 326 223.0 43.0
3 327 230.0 45.0
3 328 164.0 55.0
3 329 233.0 54.0
3 330 245.0 56.0
3 331 175.0 65.0
3 332 183.0 65.0
3 333 232.0 63.0
3 334 132.0 73.0
3 335 246.0 76.0
3 336 255.0 76.0
3 337 251.0 85.0
3 338 265.0 83.0
3 339 173.0 95.0
3 340 209.0 93.0
3 341 248.0 93.0
3 342 251.0 93.0
3 343 256.0 96.0
3 344 264.0 93.0
3 345 269.0 93.0
3 346 264.0 96.0
3 347 270.0 96.0
3 348 208.0 104.0
3 349 250.0 103.0
3 350 244.0 105.0
3 351 255.0 106.0
3 352 1027.0 105.0
3 353 1029.0 106.0
3 354 216.0 113.0
3 355 250.0 114.0
3 356 245.0 116.0
3 357 1052.0 114.0
3 358 1109.0 125.0
3 359 1115.0 125.0
3 360 143.0 135.0
3 361 988.0 136.0
3 362 1004.0 134.0
3 363 1003.0 136.0
3 364 1071.0 133.0
3 365 147.0 145.0
3 366 763.0 155.0
3 367 987.0 155.0
3 368 1087.0 154.0
3 369 1094.0 156.0
3 370 368.0 166.0
3 371 423.0 166.0
3 372 1023.0 164.0
3 373 1088.0 163.0
3 374 1213.0 163.0
3 375 356.0 174.0
3 376 349.0 175.0
3 377 363.0 173.0
3 378 367.0 174.0
3 379 388.0 173.0
3 380 390.0 173.0
3 381 392.0 173.0
3 382 403.0 174.0
3 383 423.0 174.0
3 384 616.0 176.0
3 385 672.0 174.0
3 386 674.0 175.0
3 387 685.0 175.0
3 388 689.0 175.0
3 389 834.0 176.0
3 390 1049.0 173.0
3 391 143.0 185.0
3 392 176.0 185.0
3 393 347.0 186.0
3 394 366.0 185.0
3 395 375.0 186.0
3 396 384.0 185.0
3 397 395.0 185.0
3 398 386.0 186.0
3 399 388.0 186.0
3 400 390.0 186.0
3 401 413.0 185.0
3 402 403.0 186.0
3 403 408.0 186.0
3 404 431.0 185.0
3 405 426.0 186.0
3 406 446.0 185.0
3 407 455.0 185.0
3 408 470.0 186.0
3 409 485.0 185.0
3 410 1036.0 183.0
3 411 1043.0 183.0
3 412 1045.0 185.0
3 413 1075.0 183.0
3 414 1086.0 183.0
3 415 1092.0 186.0
3 416 1106.0 183.0
3 417 1123.0 183.0
3 418 1132.0 184.0
3 419 1152.0 183.0
3 420 1147.0 184.0
3 421 1193.0 184.0
3 422 1214.0 183.0
3 423 1232.0 183.0
3 424 1225.0 184.0
3 425 1232.0 185.0
3 426 224.0 223.0
3 427 346.0 223.0
3 428 352.0 226.0
3 429 368.0 224.0
3 430 434.0 224.0
3 431 436.0 226.0
3 432 447.0 224.0
3 433 203.0 235.0
3 434 351.0 234.0
3 435 344.0 235.0
3 436 368.0 234.0
3 437 356.0 244.0
3 438 1230.0 244.0
3 439 1152.0 256.0
3 440 1173.0 255.0
3 441 1183.0 253.0
3 442 1176.0 263.0
3 443 1153.0 285.0
4 444 1196.0 16.0
4 445 1230.0 16.0
4 446 1209.0 23.0
4 447 1208.0 25.0
4 448 265.0 36.0
4 449 1176.0 33.0
4 450 1175.0 35.0
4 451 1170.0 36.0
4 452 103.0 45.0
4 453 168.0 44.0
4 454 183.0 46.0
4 455 1170.0 44.0
4 456 1174.0 46.0
4 457 1183.0 45.0
4 458 136.0 55.0
4 459 169.0 53.0
4 460 196.0 53.0
4 461 188.0 55.0
4 462 215.0 55.0
4 463 105.0 64.0
4 464 185.0 65.0
4 465 204.0 63.0
4 466 196.0 73.0
4 467 173.0 83.0
4 468 203.0 83.0
4 469 212.0 85.0
4 470 225.0 83.0
4 471 196.0 94.0
4 472 207.0 93.0
4 473 213.0 95.0
4 474 194.0 103.0
4 475 187.0 104.0
4 476 206.0 104.0
4 477 1024.0 106.0
4 478 170.0 124.0
4 479 1026.0 125.0
4 480 1076.0 123.0
4 481 1073.0 125.0
4 482 85.0 134.0
4 483 954.0 133.0
4 484 1033.0 136.0
4 485 1043.0 135.0
4 486 1070.0 134.0
4 487 1169.0 134.0
4 488 1049.0 145.0
4 489 1051.0 165.0
4 490 1170.0 164.0
4 491 1170.0 166.0
4 492 311.0 176.0
4 493 328.0 173.0
4 494 324.0 175.0
4 495 343.0 174.0
4 496 354.0 176.0
4 497 375.0 173.0
4 498 1106.0 175.0
4 499 1128.0 174.0
4 500 353.0 186.0
4 501 404.0 186.0
4 502 414.0 186.0
4 503 1106.0 185.0
4 504 1112.0 185.0
4 505 1148.0 185.0
4 506 1163.0 185.0
4 507 1176.0 186.0
4 508 1188.0 186.0
4 509 1190.0 186.0
4 510 1193.0 186.0
4 511 1113.0 193.0
4 512 1232.0 254.0
4 513 1236.0 256.0
4 514 1148.0 265.0
5 515 1003.0 24.0
5 516 1163.0 25.0
5 517 1186.0 26.0
5 518 256.0 36.0
5 519 269.0 36.0
5 520 1152.0 33.0
5 521 1149.0 35.0
5 522 1172.0 33.0
5 523 1126.0 43.0
5 524 1126.0 45.0
5 525 1136.0 46.0
5 526 1148.0 45.0
5 527 1152.0 46.0
5 528 235.0 53.0
5 529 1136.0 53.0
5 530 123.0 66.0
5 531 109.0 74.0
5 532 112.0 74.0
5 533 151.0 74.0
5 534 169.0 76.0
5 535 189.0 74.0
5 536 184.0 76.0
5 537 129.0 85.0
5 538 151.0 84.0
5 539 176.0 86.0
5 540 50.0 93.0
5 541 166.0 95.0
5 542 167.0 105.0
5 543 126.0 114.0
5 544 136.0 114.0
5 545 951.0 113.0
5 546 150.0 124.0
5 547 989.0 124.0
5 548 1034.0 125.0
5 549 1131.0 124.0
5 550 995.0 136.0
5 551 1047.0 133.0
5 552 1127.0 134.0
5 553 335.0 166.0
5 554 796.0 165.0
5 555 828.0 165.0
5 556 147.0 174.0
5 557 605.0 176.0
5 558 813.0 174.0
5 559 804.0 176.0
5 560 806.0 176.0
5 561 808.0 176.0
5 562 824.0 176.0
5 563 853.0 174.0
5 564 850.0 176.0
5 565 863.0 173.0
5 566 863.0 176.0
5 567 789.0 186.0
5 568 1091.0 186.0
5 569 1116.0 185.0
5 570 1153.0 185.0
5 571 1156.0 185.0
5 572 1203.0 185.0
5 573 189.0 193.0
5 574 315.0 193.0
5 575 425.0 193.0
5 576 346.0 203.0
5 577 986.0 203.0
5 578 990.0 203.0
5 579 995.0 203.0
5 580 1004.0 203.0
5 581 345.0 235.0
5 582 373.0 235.0
5 583 1232.0 234.0
5 584 363.0 244.0
5 585 1213.0 253.0
5 586 1216.0 255.0
5 587 1223.0 256.0
5 588 1147.0 265.0
5 589 1149.0 273.0
5 590 1207.0 275.0
5 591 291.0 356.0
5 592 1034.0 355.0
6 593 965.0 26.0
6 594 1107.0 23.0
6 595 1127.0 26.0
6 596 229.0 35.0
6 597 1109.0 36.0
6 598 1129.0 36.0
6 599 1144.0 34.0
6 600 105.0 45.0
6 601 103.0 55.0
6 602 209.0 55.0
6 603 116.0 63.0
6 604 243.0 66.0
6 605 111.0 76.0
6 606 104.0 84.0
6 607 144.0 83.0
6 608 110.0 93.0
6 609 231.0 93.0
6 610 223.0 94.0
6 611 211.0 106.0
6 612 916.0 114.0
6 613 895.0 126.0
6 614 911.0 123.0
6 615 996.0 126.0
6 616 885.0 133.0
6 617 1094.0 135.0
6 618 887.0 143.0
6 619 892.0 143.0
6 620 724.0 165.0
6 621 727.0 165.0
6 622 773.0 163.0
6 623 774.0 165.0
6 624 768.0 166.0
6 625 883.0 165.0
6 626 1090.0 164.0
6 627 727.0 176.0
6 628 783.0 176.0
6 629 827.0 173.0
6 630 824.0 174.0
6 631 831.0 174.0
6 632 836.0 175.0
6 633 856.0 174.0
6 634 874.0 175.0
6 635 890.0 173.0
6 636 890.0 175.0
6 637 905.0 175.0
6 638 975.0 175.0
6 639 986.0 173.0
6 640 1027.0 176.0
6 641 1036.0 176.0
6 642 874.0 186.0
6 643 889.0 186.0
6 644 1224.0 186.0
6 645 123.0 193.0
6 646 1044.0 195.0
6 647 1013.0 204.0
6 648 1029.0 204.0
6 649 1213.0 224.0
6 650 1216.0 225.0
6 651 1163.0 243.0
6 652 1191.0 256.0
6 653 1143.0 266.0
6 654 336.0 353.0
6 655 1045.0 365.0
7 656 1065.0 25.0
7 657 1095.0 26.0
7 658 1076.0 33.0
7 659 1104.0 33.0
7 660 309.0 64.0
7 661 315.0 64.0
7 662 172.0 94.0
7 663 884.0 113.0
7 664 916.0 115.0
7 665 870.0 123.0
7 666 866.0 124.0
7 667 914.0 125.0
7 668 964.0 126.0
7 669 1070.0 124.0
7 670 852.0 134.0
7 671 873.0 133.0
7 672 926.0 133.0
7 673 930.0 133.0
7 674 1056.0 136.0
7 675 1085.0 145.0
7 676 850.0 166.0
7 677 874.0 166.0
7 678 1052.0 165.0
7 679 793.0 175.0
7 680 786.0 176.0
7 681 804.0 176.0
7 682 824.0 176.0
7 683 866.0 173.0
7 684 869.0 173.0
7 685 873.0 176.0
7 686 884.0 173.0
7 687 894.0 176.0
7 688 974.0 175.0
7 689 1014.0 175.0
7 690 374.0 184.0
7 691 412.0 183.0
7 692 434.0 183.0
7 693 451.0 183.0
7 694 315.0 195.0
7 695 333.0 193.0
7 696 328.0 195.0
7 697 333.0 195.0
7 698 375.0 194.0
7 699 731.0 194.0
7 700 863.0 193.0
7 701 1071.0 195.0
7 702 1074.0 195.0
7 703 1069.0 196.0
7 704 1043.0 204.0
7 705 1187.0 223.0
7 706 1155.0 236.0
7 707 1183.0 236.0
7 708 369.0 245.0
7 709 1143.0 246.0
7 710 929.0 255.0
7 711 1154.0 256.0
7 712 1174.0 253.0
7 713 1193.0 255.0
7 714 1183.0 263.0
7 715 1185.0 263.0
7 716 1205.0 264.0
7 717 1229.0 263.0
7 718 1195.0 273.0
8 719 1028.0 26.0
8 720 1033.0 34.0
8 721 1046.0 33.0
8 722 1064.0 36.0
8 723 1067.0 36.0
8 724 226.0 45.0
